UserID ChannelID diff(StartTime(s)) Duration(ms) FS=1 LS=1
197446 102 0.027       21.483      1 1 	   
192614 46  0.000       14.080      1 1 	   
122143 18  0.017       5.467       0 1 	   
3409   112 0.006       221.588     1 1 	   
187140 66  0.127       5.388       0 1 	   
58405  8   0.027       43.465      1 1 	   
20912  48  0.023       671.164     1 1 	   
212077 102 0.013       7.385       1 1 	   
13459  52  0.104       8.925       1 1 	   
9923   108 0.026       589.850     1 1 	   
60092  83  0.000       4029.164    1 1 	   
118960 50  0.017       12278.178   1 1 	   
134204 46  0.027       28.593      1 1 	   
1691   82  0.033       6.694       1 1 	   
72994  6   0.013       34.321      1 -1	   
220886 78  0.024       2476.580    1 1 	   
121359 52  0.040       14.302      1 1 	   
143488 171 0.023       19.436      1 0 	   
169653 10  0.010       14.932      0 1 	   
96039  3   0.050       49714.301   1 1 	   
46727  113 0.063       14.868      0 1 	   
191382 52  0.024       5.803       1 1 	   
126459 19  0.016       12.569      1 1 	   
140759 73  0.024       481.767     1 1 	   
64644  50  0.026       5.542       1 1 	   
203386 10  0.004       8.924       0 1 	   
57361  3   0.033       13.077      1 1 	   
20190  8   0.040       29.449      1 1 	   
165654 14  0.027       850.236     1 1 	   
169512 36  0.003       1106.917    1 1 	   
126553 8   0.010       890.381     1 1 	   
190873 8   0.053       1767.731    1 1 	   
20215  126 0.024       7.724       0 1 	   
186282 3   0.020       2020.739    1 1 	   
128533 20  0.000       9.460       1 1 	   
54196  23  0.026       11.387      1 1 	   
65386  108 0.030       624.399     1 1 	   
65127  51  0.010       9.946       1 1 	   
206123 114 0.024       322.305     1 1 	   
155299 109 0.096       96.113      1 1 	   
196144 49  0.040       51.466      1 1 	   
41305  17  0.004       185.923     1 1 	   
123339 8   0.026       12.144      1 1 	   
20986  77  0.004       7.151       1 1 	   
74559  62  0.020       5.478       1 1 	   
161733 21  0.003       8.520       1 1 	   
212123 52  0.067       53.095      1 1 	   
170358 44  0.000       11.076      1 1 	   
142403 3   0.013       5.253       1 1 	   
214319 66  0.027       238.046     1 1 	   
66685  4   0.060       416.114     1 1 	   
152019 9   0.026       34.361      1 1 	   
78034  56  0.007       6.682       1 1 	   
118768 19  0.017       8.841       1 1 	   
64676  3   0.003       14.957      0 1 	   
18382  38  0.033       1776.917    1 1 	   
63608  62  0.034       10.446      1 1 	   
48434  46  0.040       2351.941    1 1 	   
214591 54  0.000       579.102     1 1 	   
41756  63  0.010       6.368       1 1 	   
77018  77  0.016       19.532      1 1 	   
47316  48  0.014       97.265      1 1 	   
175134 108 0.016       15.418      1 1 	   
177916 87  0.027       9.564       1 1 	   
118432 9   0.037       4856.038    1 1 	   
72906  50  0.003       7.191       1 1 	   
109681 73  0.003       3592.479    1 1 	   
210942 108 0.037       7.398       1 1 	   
172251 3   0.023       64.248      1 1 	   
91216  77  0.010       221.765     1 1 	   
68816  75  0.047       7.414       1 1 	   
142469 89  0.000       7.223       1 1 	   
124933 64  0.000       10.497      1 1 	   
203621 8   0.040       1630.978    1 1 	   
39457  82  0.010       3838.183    1 1 	   
172723 7   0.003       23.864      1 1 	   
44638  108 0.110       12.493      1 1 	   
67464  3   0.014       8.164       0 1 	   
142977 66  0.023       233.391     1 1 	   
145272 3   0.067       17.627      1 1 	   
20887  52  0.000       319.570     1 1 	   
28750  80  0.030       337.839     1 1 	   
64901  7   0.013       236.692     1 1 	   
36228  54  0.003       600.757     1 1 	   
121095 44  0.017       6.396       0 1 	   
61295  44  0.003       42.222      1 1 	   
189152 7   0.014       5.355       1 1 	   
73654  43  0.003       20.539      1 1 	   
177852 54  0.030       26.310      1 1 	   
127776 3   0.063       31.153      1 1 	   
23131  84  0.014       525.304     1 1 	   
37730  37  0.020       35.442      1 1 	   
174795 73  0.000       1874.456    1 1 	   
143325 92  0.003       5.952       1 1 	   
150253 13  0.000       2989.302    1 1 	   
13444  171 0.003       736.528     1 0 	   
165056 108 0.037       6239.439    1 1 	   
37105  73  0.003       3599.672    1 1 	   
206564 14  0.104       9.990       1 1 	   
180929 11  0.006       6.877       1 1 	   
73842  3   0.024       10152.574   1 1 	   
81065  50  0.006       397.778     1 1 	   
86374  9   0.000       46.762      1 1 	   
119136 9   0.047       34.833      1 1 	   
87182  52  0.017       385.413     1 1 	   
67806  171 0.020       8.550       1 0 	   
52680  88  0.003       7.923       1 1 	   
16222  3   0.007       40.134      1 1 	   
151769 73  0.003       419.047     1 1 	   
148209 4   0.003       1504.796    1 1 	   
129588 73  0.030       2556.577    1 1 	   
55830  70  0.064       39.856      1 1 	   
30053  5   0.030       5.874       0 1 	   
167011 13  0.000       295.086     1 1 	   
155815 77  0.020       28.678      1 1 	   
78707  52  0.016       5.375       1 1 	   
47739  37  0.020       18.571      1 1 	   
62372  6   0.000       8.061       1 1 	   
109743 5   0.004       81.942      1 1 	   
161115 148 0.006       5.329       0 1 	   
154725 17  0.054       99.026      1 1 	   
206121 171 0.023       95.036      1 0 	   
167851 36  0.130       16.969      1 1 	   
62654  52  0.027       407.458     1 1 	   
173394 67  0.113       19.945      1 1 	   
132399 3   0.000       2308.108    1 1 	   
21116  66  0.040       6.997       1 1 	   
84204  44  0.027       277.744     1 1 	   
91410  3   0.013       98.951      1 1 	   
107298 110 0.010       754.063     1 1 	   
185962 171 0.007       110.930     1 0 	   
90232  66  0.003       34.879      1 1 	   
213852 38  0.020       366.797     1 1 	   
182511 3   0.057       1129.341    1 1 	   
118804 12  0.016       5.250       1 1 	   
205474 99  0.114       5.362       0 1 	   
109737 82  0.056       703.161     1 1 	   
186098 73  0.014       84.897      1 1 	   
13259  15  0.010       6.891       1 1 	   
85295  37  0.013       26.871      1 1 	   
2410   54  0.007       635.836     1 1 	   
28654  111 0.010       24.315      1 1 	   
143202 110 0.070       7.998       1 1 	   
63123  49  0.020       185.403     1 1 	   
60176  53  0.006       13.224      1 1 	   
221436 66  0.014       51.922      1 1 	   
